"","groupe","Energie1","Eau","Proteines1","Glucides","Lipides","Sucres","Fructose","Fibres","Calcium","Chlorure","Cuivre","Fer","Iode","Magnesium","Manganese","Phosphore","Potassium","Selenium","Sodium","Zinc","BetaCarotene","VitamineD","VitamineE","VitamineC"
"Abricot, dénoyauté, cru","fruits crus",194,87.1,0.81,9.01,0.25,6.7,1.3,1.7,15,10,0.06,0.19,10,8.4,0.07,22,260,10,2.5,0.09,2350,0,0.7,2.55
"Ananas, pulpe, cru","fruits crus",231,85.5,0.25,11.7,0.25,10.5,2.3,1.2,8,21.6,0.06,0.17,10,15,0.84,8.1,140,10,2.5,0.08,66.9,0,0.04,46.1
"Banane, pulpe, crue","fruits crus",383,75.8,1.06,19.7,0.25,15.6,3.8,2.7,5.1,79.8,0.06,0.2,10,28,0.36,29,320,10,2.5,0.14,28.5,0,0.04,7.16
"Cerise, dénoyautée, crue","fruits crus",235,85.7,0.81,13,0.25,10,4.6,1.6,9.9,10,0.08,0.17,10,8.8,0.06,19,190,10,2.5,0.06,242,0,0.04,4.09
"Citron, pulpe, cru","fruits crus",118,91.3,0.25,1.56,0.25,0.8,0.4,0.25,11,10,0.04,0.15,10,7.9,0.02,12,140,10,2.5,0.33,2.5,0,0.04,45
"Figue, crue","fruits crus",293,80.2,1.19,13.5,0.25,12.2,6.2,4.1,57,10,0.08,0.27,10,22,0.06,21,230,10,5,0.16,73.6,0,0.04,0.25
"Fraise, crue","fruits crus",162,90.3,0.63,6.03,0.25,5.6,3.3,3.8,18,10,0.02,0.19,10,12,0.26,23,140,10,2.5,0.11,2.5,0,0.3,54
"Framboise, crue","fruits crus",206,86.8,1.19,5.83,0.8,5.4,2.8,4.3,16,10,0.04,0.4,10,20,0.44,29,170,10,2.5,0.24,100,0,0.88,18.7
"Fruit de la passion ou maracudja, pulpe et pépins, cru","fruits crus",425,73.6,2.13,10.9,3,8.5,2.5,6.8,8.1,10,0.15,0.56,10,26,0.19,46,240,10,2.5,0.76,1010,0,0.5,25.6
"Grenade, pulpe et pépins, crue","fruits crus",340,79.4,1.44,14.3,1.2,13.3,7.1,2.3,9.5,44.1,0.11,0.17,10,12,0.1,27,230,10,2.5,0.22,12.1,0,0.04,9.02
"Groseille, crue","fruits crus",289,82.1,1.56,7.06,0.7,6.63,3.86,4.6,38,10,0.09,0.35,10,12,0.13,38,230,10,2.5,0.15,25.6,0,1.19,29.8
"Kiwi, pulpe et graines, cru","fruits crus",255,83.5,0.88,11,0.6,8.9,4.3,2.4,29,34.7,0.15,0.16,10,12,0.05,26,290,10,2.5,0.12,38,0,0.96,81.9
"Litchi, pulpe, cru","fruits crus",344,80.5,1.13,16.1,0.25,15.7,8.1,2,3.6,10,0.2,0.26,10,18,0.1,27,200,10,2.5,0.23,2.5,0,0.04,19.2
"Clémentine ou Mandarine, pulpe, crue","fruits crus",200,87,0.81,9.17,0.25,8.6,1.5,1.7,23,10,0.04,0.09,10,9.3,0.02,18,140,10,2.5,0.1,147,0,0.21,49.2
"Mangue, pulpe, crue","fruits crus",314,81.1,0.63,14.3,0.25,12.9,3.4,1.6,12,21.8,0.07,0.09,10,11,0.07,12,150,10,2.5,0.11,864,0,2.05,25
"Melon cantaloup (par ex.: Charentais, de Cavaillon) pulpe, cru","fruits crus",265,84.2,1.13,14.8,0.25,10.6,2.49,1.3,11,25.8,0.06,0.21,10,16,0.04,17,380,10,24,0.18,2500,0,0.04,8.14
"Mirabelle, crue","fruits crus",325,78.1,0.63,18,0.25,13.3,2.2,2.2,11,10,0.08,0.13,10,8.2,0.07,21,240,10,2.5,0.11,346,0.125,1.52,5.29
"Myrtille, crue","fruits crus",244,84.2,0.87,10.6,0.33,9.96,4.97,2.4,6,10,0.057,0.28,0.5,6,0.34,12,77,10,1,0.16,32,0,0.57,9.7
"Mûre (de ronce), crue","fruits crus",198,86.1,1.13,6.53,0.7,6.1,3.08,5.2,31,10,0.07,0.4,10,20,1.1,25,200,10,2.5,0.18,156,0,1.28,10.1
"Orange, pulpe, crue","fruits crus",192,87.3,0.75,8.03,0.25,7.6,2.1,2.7,66,10,0.04,0.57,10,15,0.02,38,180,10,2.5,0.25,2.5,0,0.19,47.5
"Papaye, pulpe, crue","fruits crus",178,88.8,0.75,8.53,0.25,8.1,4.1,1.8,22,63,5e-05,0.16,10,18,0.04,8.7,200,10,2.5,0.05,351,0,0.04,65.3
"Pastèque, pulpe, crue","fruits crus",165,91,0.69,8.33,0.25,7.9,3.6,0.5,6,10,0.03,0.16,10,11,0.02,9.7,100,10,2.5,0.09,1220,0,0.04,4.26
"Pomelo (dit Pamplemousse), pulpe, cru","fruits crus",169,89.3,0.25,8.02,0.25,6.6,1.9,0.8,14,10,0.02,0.06,10,7.2,0.02,17,140,10,2.5,0.07,539,0,0.04,42.4
"Prune Reine-Claude, crue","fruits crus",301,80.1,0.94,16.4,0.25,10.4,1.8,1.7,13,10,0.1,0.16,10,9.5,0.08,20,250,10,2.5,0.12,430,0,1.2,4.16
"Raisin blanc, à gros grain (type Italia ou Dattier), cru","fruits crus",311,80.9,0.75,16.6,0.25,15.5,8.5,1,12,10,0.19,0.2,10,7.6,0.08,16,200,10,2.5,0.05,7.54,0.125,0.31,1.07
"Kaki, pulpe, cru","fruits crus",290,81.8,0.88,14.3,0.25,13.9,6.4,3.4,6.9,33,0.03,0.06,10,7.2,0.13,13,160,10,2.5,0.05,180,0.125,0.12,3.41
