id	WT1	WT2	KO1	KO2
ENSG00000034510	235960	94264	202381	91336
ENSG00000064201	116	71	64	56
ENSG00000065717	118	174	124	182
ENSG00000099958	450	655	301	472
ENSG00000104164	4736	5019	4845	4934
ENSG00000104783	9002	8623	7720	7142
ENSG00000105229	1295	2744	1113	2887
ENSG00000105723	3353	7449	3589	7202
ENSG00000116199	2044	4525	2604	4902
ENSG00000118939	7022	2526	6269	3068
ENSG00000119285	15783	17359	18591	20077
ENSG00000121680	3133	2775	2045	2796
ENSG00000125384	1380	3079	869	2419
ENSG00000129562	12089	7958	10708	7683
ENSG00000129932	1744	2247	1513	3104
ENSG00000134198	122	66	44	16
ENSG00000135452	635	427	662	291
ENSG00000140416	83	246	136	267
ENSG00000147274	16013	17642	15055	18804
ENSG00000148090	552	1062	615	1082
ENSG00000148248	62324	33973	56862	37710
ENSG00000157036	1225	1475	1275	1373
ENSG00000157869	1201	1034	1025	858
ENSG00000159433	31	788	30	675
ENSG00000161692	695	1825	746	1851
ENSG00000167005	26866	23111	24888	22661
ENSG00000168517	273	112	190	77
ENSG00000169570	202	181	207	209
ENSG00000172216	3515	1981	3204	3174
ENSG00000175221	1988	4788	2115	5306
ENSG00000183161	2238	974	2089	996
ENSG00000185324	1236	2163	1048	2024
ENSG00000188985	3415	1703	3587	2096
ENSG00000196867	209	189	293	192
ENSG00000197081	14741	36309	14941	29645
ENSG00000198586	1216	4545	1660	3932
ENSG00000214121	4044	2575	3019	2506
ENSG00000225630	1405	8135	1569	7866
ENSG00000226742	158	94	153	178
ENSG00000238241	90	43	122	143
ENSG00000248751	518	718	411	597
ENSG00000250202	261	163	177	191
ENSG00000251106	94	114	63	86
ENSG00000253991	77	78	134	92
ENSG00000254470	3025	3707	2558	4066
ENSG00000262814	15470	11450	11656	13821
ENSG00000267228	3801	2465	2787	2301
ENSG00000267699	1488	1086	1374	939
ENSG00000269293	424	162	310	120
ENSG00000279329	55	76	58	70
