subjectid IFNAR1 CHUK MAP3K7 MAP2K6 ATG4C TIRAP HMBS IKBKB MAP2K4 PEX16 PYCARD AMPD2 NT5DC2 MAVS FZD3 ECSIT MAP2K2 MAPK3 PSTPIP1 CDC37 ZFYVE16 GFRA2 LRRFIP1 TNFRSF1A TMEM173 TAB1 CARD9 ST8SIA6 IKBKG RBM6 MVK SLC46A3 ATG9A STAT6 IRF3 LRMP AP2A2 UNKL WDFY4 P2RY13 ZNF280D IL7 MAPK1 TYK2 ABHD10 ELP2 IRF5 SCG3 ADORA3 NFXL1 MAU2 CARD8 GNAS OTUD5 IL12RB1 CD24 HPS1 DCTN5 TAB3 ATRIP PLAU NLRX1 FGD4 HRH4 PTMA IRAK1 FADD GCOM1 SAMHD1 IFNGR1 PPP6C HMGB1 FAM120AOS MAPK8 LYZ TLR6 ACP5 CPNE1 TMEM86A SCN9A MAPK14 TLR5 IFNAR2 ADCY3 CD93 RRS1 SIGLEC9 CYBRD1 IRAK4
0920V042111 7.21828759843816 8.20077658727799 8.15301404462681 9.00729232654457 6.84016270485861 4.94204231887782 7.20273278424331 8.0654247343831 3.31911196795764 6.15907155544717 9.27795464320088 7.24130981635401 8.05246630857147 7.911269970083 4.50814579234766 5.11819927403165 8.12027062405134 6.14286132826591 6.98359480832232 10.6571797655003 8.69901013148234 4.34768112015441 10.321364419689 9.0005612332726 4.94204231887782 7.08039724131926 9.59486401678617 4.69762359121137 8.3316806414607 8.47129538701269 6.04157799242873 7.05463414525418 8.53479056456557 9.95079833426964 6.04157799242873 7.04594318499014 8.61336510440216 3.53323677331049 9.76338147037112 0.99718387307028 6.73595170987047 0.99718387307028 10.5513889782259 8.04376223969061 6.8199140210148 9.09626863396214 10.0366513113488 3.96065799704517 8.33881388240019 11.3452480577993 6.6808803273768 5.96987652707455 11.890637098904 7.89684289944772 3.06757320096168 6.45004283778409 8.21247417872151 8.09521595603081 7.45989062374044 5.41672276458406 9.65896197084227 4.6059931157458 6.89925745238102 3.19881773423993 10.5312921780021 8.28812427547396 4.55789882754476 5.30461239826253 10.5328480638804 6.89925745238102 8.61923569252666 8.92436923089665 7.1387801514541 6.52700481959898 9.75273913504243 6.76801291910277 11.6676630935314 8.07399947012111 3.06757320096168 7.24890296567624 8.51603370177797 0.260218278904074 8.14082218299232 7.14693099257496 7.52387871861226 10.6392355659983 5.54562049776632 7.24130981635401 6.62362300976759
1226V042811 7.94060123459043 8.56403788312622 8.10655707989287 9.22606726833894 7.27853468823307 5.21547800657615 6.78942751457488 8.14162177402847 6.52307275044948 6.229127068088 9.00271023208405 7.35023615358726 7.16949735344966 7.93727896474947 5.91465127690433 5.41973300075679 8.53795455044973 6.95627837242725 7.20860474421465 10.5350728644335 10.1305735250064 7.08194602230197 10.5011615073736 9.93290684280043 5.80226786034831 7.30970122968445 9.40267011541623 5.64823423167589 8.43571378615068 8.55105516297536 5.69619527012706 8.12127107832733 8.55972327791895 9.98210138164257 5.84544400155009 8.10359618600414 10.2498637955375 3.05920206664568 9.86895657275233 3.40537770777972 7.62260842400039 3.48033976546095 10.5509193095885 8.20100614132449 7.35023615358726 9.36483876924799 10.1500770219876 5.49397163104871 8.85911475836415 9.90256424841244 7.03919637484264 6.0062817523699 11.7787359126727 8.16737209643745 3.55159844863077 3.40537770777972 8.10359618600414 8.5046729121175 7.9831086392698 6.01890936069765 10.3324840333104 4.87004597478317 8.17585440430725 3.80591563736345 10.7707669690929 8.69176604769259 4.20998201882129 6.90957433896981 11.1725910853849 7.76808136385458 8.88348665690125 9.43718457335207 7.24667996176067 6.93644720050568 11.1490901343865 7.29420211867294 12.5099589899087 8.14162177402847 4.25337461433467 8.43571378615068 8.74403981842689 3.48033976546095 8.55972327791895 7.55918304385876 7.58912886408905 11.1215455375769 6.88219140464526 8.27919090613881 7.18638763465195
1249V050311 7.50226131561858 8.18692733295301 7.94609010814335 8.81418434017747 6.87669999190973 4.59158907946763 6.913517174355 7.94164077526938 6.88599274571947 5.9909216780406 8.97304687219087 7.21577288998651 7.33591971438143 7.73089871367186 5.1497988525831 5.37769145229664 8.4663163516371 6.35444845178456 6.99307334889565 10.6915270233033 8.88772849292009 4.54541889803471 10.1923214684641 9.03909538817688 5.72702570452465 7.17086046811093 9.59690418448799 4.8790287979697 8.54761645373895 8.35361137892041 6.07457960708751 6.8579329625142 8.38015970788739 9.84934810981275 5.64182338198777 6.913517174355 8.77470668137845 3.38426410622013 9.39366014281378 -0.812133106583377 6.76025132805831 2.12646634875248 10.5238154586189 8.11761844683395 6.8579329625142 9.45894079251462 9.83021949260096 4.91578734797982 8.33676711237401 10.6027282717112 6.95825548912028 5.78777973560375 11.7941949875769 8.11761844683395 3.48554744205731 7.16323722690791 7.91918592444169 8.05720368631537 7.57301028330765 5.82690606689357 9.72670248394732 4.28940491987869 6.84845709895115 2.73218740964043 10.7422958631147 8.46321544761495 3.90668514087257 5.08672016995972 10.6654565320722 7.28062403433648 8.78963768182433 9.28370342726845 7.28765301311709 6.94052629468797 12.0727369627118 6.90440058767802 11.703484608744 7.45309123034124 3.66899358315324 7.84011435345049 8.58518499725375 -0.812133106583377 8.07356326675602 7.26646249691274 7.23771544286718 10.8483085436258 6.09074442651852 6.72960886553866 7.0101721569402
1232V050311 8.46063339845129 8.69862023148342 7.96733807941284 8.60769711479607 6.91024694358426 5.12217451975823 7.05212035159442 8.03726530695827 5.72666919014336 5.88676251225968 8.63802088553515 7.12351469174582 7.30455964218901 7.813094195912 5.99615599357952 5.41265593093685 8.50449721269776 6.82055000083105 6.4790723299059 10.6769915737522 9.82488149251979 7.0236919432679 10.6696711360512 9.68302581978774 5.1644543232508 6.90402171260528 9.07342673024637 5.48116470886714 8.53704440997027 8.62861299408858 6.73195056897941 7.19664430302212 8.31808408846688 9.65085737356028 5.75461573064627 7.1605428114804 10.1541638989177 3.39056216008623 9.30603584720975 3.9695753944762 7.57525387223746 3.24053671608163 10.291056303833 8.23372715808437 6.82714518964634 9.3329318528742 9.83800258376119 5.26503127800237 7.33264218415705 10.317645067809 7.16575580736332 5.92415626971698 11.8421294489456 8.24608436460435 3.76495767486773 4.48534038483833 8.04859728503072 7.94021612061308 7.78964883887775 5.87407939724784 11.0089929823706 4.1059945927028 7.33264218415705 3.52644558816801 11.0068160136469 8.72181088295007 4.41703437144742 6.56048716152855 10.7434366196637 8.4921001865483 8.94287546706357 9.40303151204845 7.18642144330601 7.02942261630797 9.89718196712482 6.95910477797536 11.6993506104359 7.91876301094677 3.81889648197853 8.03726530695827 8.84228206932849 3.58987096830964 8.57672226426335 6.84675176603138 8.35049256006015 10.8379005363666 7.00636206472998 7.17612562768492 7.0121618515998
0398V050311 6.73061012454188 7.97467154802323 7.8281066528192 6.74278483848798 6.27423182988214 4.49182326495476 6.39486153506768 7.87310663745855 4.54840679332113 6.0671355956422 8.25310853831638 6.07678576567592 6.79633430676472 7.41402111335113 3.65532199723764 5.05742044080899 8.69815391282581 6.7367103240783 7.63586963457147 10.1563061053194 7.85078209078709 -0.152032924819961 9.79560401313187 7.61283866591613 6.19669522941112 7.09114105865299 7.79925179014701 3.65532199723764 8.17888395329466 8.14028870798208 4.99771419468472 4.68085708934478 7.69031741859385 9.33881795192034 5.58943406158119 6.8423205120389 7.53446760236326 3.09589458862362 7.57248092829999 0.847967075180039 6.12409148045428 1.84796707518004 10.228428140269 8.04518376829009 6.33982017150971 8.7152458148897 9.50260310370801 5.01789207662235 6.51330299236522 8.53796504659948 6.77870441274293 6.40255592685768 11.5307422542471 7.88688606447234 4.77870441274293 1.1698951700674 7.27003184135285 7.90053512598419 7.15174782335714 5.65532199723764 7.52392410812179 4.40255592685768 5.83665176195221 1.1698951700674 10.8469100266231 8.19669522941112 4.30739869381734 -0.152032924819961 10.0815867519397 4.84796707518004 8.50796296761002 9.50439193845782 7.14717509356732 6.76683031245463 10.3798358503576 5.64238294153014 12.4226788513633 7.79048158051928 0.847967075180039 3.65532199723764 8.01287400185573 1.1698951700674 8.6260442047154 6.52744717468549 5.13336929404229 9.86198754549497 5.30739869381734 4.1698951700674 6.79048158051928
1245V051111 8.05226306962416 8.59373246210678 8.15392892254285 9.00736923417364 7.3730621478574 5.19255683153947 7.07033204094171 8.28349572590903 6.04660913015697 6.37004711010197 9.08787168692966 7.5253663988113 8.21793222749404 8.19993345942227 6.82232712761931 4.91212379796995 8.68390416273132 7.00963127188338 7.58898604076267 10.6888530322278 9.63680751904106 8.0421962513455 10.5929783933731 10.07110581143 6.84566749579826 6.94626393912056 9.45715482641738 5.62905163889961 8.42579846139124 8.58682340351032 6.08634162523053 8.21345354313387 8.49754685577112 9.9698562306754 5.65570727090067 7.39695826420357 10.665270089763 2.61213825596327 9.57879333892606 5.19255683153947 8.05727025917418 3.75458252098347 10.6628083272758 8.29625831595172 7.04030087768875 9.31388606653316 9.933555873152 5.11783747815977 7.72735371251142 10.6092644665218 7.29890303720728 6.56545621317787 11.9952311765238 8.11603898005747 3.4233766125081 6.27008020204153 8.35436823667443 8.01671753102858 8.30048754592327 5.96370258522688 11.1745967010039 4.6721203607915 7.95902826256052 4.77296105029833 10.8972787139537 8.71592090061437 3.54242928415186 7.75226865514523 10.6734457582581 7.04030087768875 8.81680167068936 9.65673857771482 7.18457036172829 7.08020509942858 9.6284209525329 7.42046501708819 11.6485192491246 7.9100494697320904 4.6721203607915 9.17106430413595 8.86614178871741 3.85000208606215 8.65116074215585 6.85719758746636 8.36248183298179 10.9667826889047 6.64743016821447 7.78885242306822 7.19369415524117
0490V051211 7.66908103917714 8.71448110514757 8.25034905634056 9.48327214516918 7.2820579160679 5.08042405489825 7.09697523116209 8.46106826544479 4.18733925881476 6.23796533188473 9.01079748905628 7.30123022534274 7.35726426025707 8.1691919121045 6.47590875675569 5.16658069864796 8.52362264667919 6.94679949076805 7.12951860442641 10.7282698786084 9.67184570634237 7.39344659656372 10.6198215054975 9.96118491868211 6.75154319936912 7.29167591862949 10.1017671052169 4.78597669643299 8.51543712094233 8.87343953768333 5.97691947914439 7.60108806212503 8.63737217944981 10.0769518629914 6.19760759426858 7.6542459980142 10.4444576655106 3.30598375531338 10.1514738062578 4.01225255225667 7.58553324793019 4.10245036122824 10.8141955402427 8.3956781438623 7.00642347345447 9.55291182636099 10.3827993523642 4.94069929123163 8.94527685733818 9.3189757755327 6.93457318843479 6.25772858670615 11.9017810481689 8.34576862141924 3.70191243164452 9.58846257896886 8.71090121487177 8.07764697022767 8.17440020310726 5.90354629281417 10.7291549676183 4.41560824648787 8.026723035065 5.53378967283619 11.0356939322757 8.89883416546484 4.672766085985 7.30123022534274 10.9218553455986 7.33882701200039 8.82126860868419 9.75415441282565 7.42874364867701 6.94679949076805 8.60687815032854 7.18217755369898 11.8218910412994 8.14816866153408 4.10245036122824 9.13353539135781 8.86057260699101 2.96494683747831 8.50720488724523 6.94679949076805 8.03819581950895 11.1305238501116 6.54187201913405 7.69105143901275 7.17179840791898
1227V051211 8.01292649528862 8.68335833819913 8.19588730942454 8.98004313347483 7.13370831816466 5.42389433025842 7.04904592109527 8.35503247211361 5.49544759128345 6.29613878306004 8.95276226890865 7.22073138040202 7.52424485559088 8.08428310115181 6.87216815901119 4.86317937578394 8.6445390893086 7.09584013257421 7.49544759128345 10.7567842806422 9.80217081455948 7.8358720297882 10.7136787895421 10.219851419996001 7.28271826729772 7.34215118081688 9.71991613190305 6.03310437722625 8.61002955888199 8.59924300365575 5.73107583977659 8.41776822746157 8.65238695113128 9.88554718881239 6.03310437722625 8.39923227602415 10.8614877261382 3.78917879434016 9.51135717150876 4.58564540025503 7.98833450710623 3.34860620295418 10.7885854589253 8.34215118081688 7.33566714724668 9.92926856624171 10.4383404092093 5.12621378161773 9.27087202444961 10.0929595425173 7.3094356056735 6.50703556555866 12.0630970560585 8.15596112501178 3.24169099903767 4.78917879434016 8.62605966870094 7.98004313347484 8.28271826729772 6.26917173545977 10.7652529550947 5.00068289953387 7.35503247211361 4.06481323695359 10.9898838486271 8.85640084315287 4.39923227602415 7.3094356056735 10.8478826426091 7.35503247211361 8.86543182751532 9.73477664139779 7.51853120439649 6.68080263329537 9.77726547279666 7.41161600047998 12.1952159241456 8.09967199416524 4.29613878306004 9.2537782813364 8.80569388112318 3.34860620295418 8.54406629650363 6.66019235362008 8.58017027018888 11.0900731893553 6.69099840040126 8.03310437722625 7.37414129506132
1273V051211 8.14871279262165 8.64445298223017 8.01415662913939 8.68209746001898 7.20403173175234 4.65527159656253 6.88336104406481 7.93321298127259 3.68441794222205 5.93191149716007 8.94895437322108 7.26594135897644 7.49471413959178 7.79114911717717 5.57082873238223 4.93017435662401 8.54580620925235 6.94659334532675 7.69212603735731 10.3675529273481 10.1763626353291 7.654745737238 10.3649834247316 10.0095370445298 5.8752585233177 7.24931866861023 9.09254748435724 5.31801521819408 8.30164924641555 8.48794021963639 5.98642357956868 7.8176996273656 8.53212857135947 9.94132076388445 5.4787595366454 8.15169742268203 10.5220008256646 3.02762269673983 9.56174152004651 5.18449154535669 7.48528087318591 3.12802459369766 10.4541141298996 8.23285456691809 6.58082819895786 8.88761909853866 9.96016999105058 4.35732814221891 8.49029997488078 7.19826958713435 7.0461863016412 6.1742544367303 11.6867025463707 8.03693435694283 3.81063565842547 2.21048675388964 8.36216778124542 8.33616671629984 7.82145298243454 5.33911533896088 10.9800884965381 4.51397760052032 8.354416546799 3.74890666867376 10.7862960924671 8.59048390503253 4.84423162769707 6.71601478711639 10.9135114056053 7.37211854853246 8.78755585245316 9.39921295334021 7.10895618180978 6.68338707755447 8.75456189294798 7.51339762260663 12.2492968991461 7.83265481191844 4.47638081386267 7.85845905213659 8.7005576448773 3.39307816716811 8.52063064207324 6.96027638841343 8.00428357065252 10.5010907836284 7.19248433611022 7.77188078347239 7.00717019882328
1202V051711 8.1221146784769 8.63255996568398 8.21338273604421 8.75912392696765 7.00100559297763 5.27679190622027 6.99166016732148 8.28398740762447 4.47423797042649 6.30912788833996 9.00884397952056 7.17622536800178 7.63818597713275 8.16847031416864 6.32409762099863 4.76496411012933 8.64155108306896 6.93427947917682 7.27197488992249 10.5405274517413 9.82916897731514 8.18496432780462 10.6924604465493 10.0239644432557 6.655303529474 7.21689599757733 9.64918687145829 6.86431692100925 8.61744911750205 8.52654062130384 6.15021140965513 8.04740955287647 8.4569397673787 9.94868910628873 6.18342599990956 7.53259474282299 10.6684679886724 3.71472980760919 9.71313145016522 6.00913347386103 7.82341888982725 2.70332504433694 10.710374565598901 8.22937397746369 6.59486767561203 9.73429864793308 10.0136132236684 4.8081941621909 8.65345273378606 10.4001270194734 7.31756746740776 6.69038598862945 12.0073594085894 8.29542608035932 4.52694502075733 6.09891018094962 7.79146125551357 8.00623591305393 8.33660862476207 6.11621407703721 11.4415245595549 4.6744123524217 7.24862665209186 3.96444986016211 10.9021403348749 8.88560114889579 4.62691192881778 7.07366648940516 10.6207681662878 6.95366106425125 8.82374808436168 9.48572528804799 7.22489432736875 6.74702505974124 8.76187519367205 7.44628937912459 12.5238839332918 8.09618760033243 4.03892807612138 8.86783296250803 8.57114308181 3.16898861668576 8.63255996568398 6.59486767561203 7.68532262655753 10.7231363716403 6.18342599990956 8.34397167763578 7.34718123411167
