id;name;chr;start;stop;strand
ENSG00000225630;MTND2P28;1;629640;630683;+
ENSG00000134198;TSPAN2;1;115048011;115089500;-
ENSG00000116199;FAM20B;1;179025804;179076562;+
ENSG00000119285;HEATR1;1;236549005;236604504;-
ENSG00000034510;TMSB10;2;84905625;84906675;+
ENSG00000198586;TLK1;2;170990823;171231314;-
ENSG00000157036;EXOG;3;38496127;38542161;+
ENSG00000157869;RAB28;4;13361354;13484365;-
ENSG00000250202;RP11-397E7.2;4;86876338;86876652;+
ENSG00000169570;DTWD2;5;118837322;118988545;-
ENSG00000269293;ZSCAN16-AS1;6;28121795;28137293;-
ENSG00000197081;IGF2R;6;159969099;160113507;+
ENSG00000147274;RBMX;X;136848004;136880764;-
ENSG00000253991;KB-1562D12.2;8;101528723;101529569;-
ENSG00000214121;TDPX2;9;12972843;12973438;-
ENSG00000148090;AUH;9;91213815;91361913;-
ENSG00000148248;SURF4;9;133361449;133376166;-
ENSG00000064201;TSPAN32;11;2301997;2318200;+
ENSG00000183161;FANCF;11;22622519;22626787;-
ENSG00000121680;PEX16;11;45909669;45918812;-
ENSG00000254470;AP5B1;11;65775893;65780802;-
ENSG00000135452;TSPAN31;12;57738013;57750211;+
ENSG00000251106;FAM206BP;13;46270077;46270617;+
ENSG00000118939;UCHL3;13;75549480;75606020;+
ENSG00000238241;CCR12P;13;99407781;99409062;-
ENSG00000129562;DAD1;14;22564905;22589269;-
ENSG00000125384;PTGER2;14;52314305;52328606;+
ENSG00000159433;STARD9;15;42575659;42720981;+
ENSG00000104164;BLOC1S6;15;45587123;45615999;+
ENSG00000140416;TPM1;15;63042632;63071915;+
ENSG00000167005;NUDT21;16;56429133;56452199;-
ENSG00000185324;CDK10;16;89680737;89696364;+
ENSG00000161692;DBF4B;17;44708608;44752264;+
ENSG00000168517;HEXIM2;17;45160700;45170040;+
ENSG00000262814;MRPL12;17;81703357;81707526;+
ENSG00000188985;DHFRP1;18;26170726;26171284;-
ENSG00000267228;IER3IP1;18;47134656;47176281;-
ENSG00000267699;RP11-729L2.2;18;50968019;51058144;+
ENSG00000226742;HSBP1L1;18;79964561;79970822;+
ENSG00000172216;CEBPB;20;50190734;50192689;+
ENSG00000175221;MED16;19;867630;893218;-
ENSG00000065717;TLE2;19;2997638;3047635;-
ENSG00000129932;DOHH;19;3490821;3500940;-
ENSG00000105229;PIAS4;19;4007646;4039386;+
ENSG00000279329;CTD-2553L13.9;19;34675717;34677581;-
ENSG00000105723;GSK3A;19;42230186;42242625;-
ENSG00000104783;KCNN4;19;43766533;43781257;-
ENSG00000196867;ZFP28;19;56538948;56556810;+
ENSG00000099958;DERL3;22;23834503;23839128;-
ENSG00000248751;RP1-130H16.18;22;30285238;30299482;-
