# Program:featureCounts v1.6.1; Command:"featureCounts" "-T" "4" "-t" "gene" "-g" "ID" "-O" "-s" "1" "-a" "Arabidopsis_thaliana.TAIR10.40.gff3" "-o" "results/KO2_feature.out" "results/KO2_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/KO2_Aligned.sortedByCoord.out.bam
gene:AT1G01010	1	3631	5899	+	2269	1052
gene:AT1G01020	1	6788	9130	-	2343	56
gene:AT1G01030	1	11649	13714	-	2066	15
gene:AT1G01040	1	23121	31227	+	8107	391
gene:AT1G01050	1	31170	33171	-	2002	433
gene:AT1G01060	1	33365	37871	-	4507	666
gene:AT1G01070	1	38444	41017	-	2574	100
gene:AT1G01080	1	44970	47059	-	2090	116
gene:AT1G01090	1	47234	49304	-	2071	1217
gene:AT1G01100	1	49909	51210	-	1302	1569
gene:AT1G01110	1	51953	54737	+	2785	1
gene:AT1G01120	1	57164	59215	-	2052	647
gene:AT1G01130	1	61905	63811	-	1907	24
gene:AT1G01140	1	64166	67774	-	3609	165
gene:AT1G01150	1	69911	72138	-	2228	2
gene:AT1G01160	1	72339	74096	+	1758	451
gene:AT1G01170	1	73931	74737	-	807	268
gene:AT1G01180	1	75390	76845	+	1456	32
gene:AT1G01190	1	82984	84946	-	1963	2
gene:AT1G01200	1	86486	88409	-	1924	12
gene:AT1G01210	1	88622	90502	+	1881	32
gene:AT1G01220	1	91342	95681	+	4340	188
gene:AT1G01225	1	95935	97407	+	1473	31
gene:AT1G01230	1	97412	99240	+	1829	127
gene:AT1G01240	1	99865	101987	+	2123	92
gene:AT1G01250	1	104440	105330	-	891	0
gene:AT1G01260	1	108946	111699	+	2754	175
gene:AT1G01280	1	112263	113947	+	1685	0
gene:AT1G01290	1	114202	116407	+	2206	115
gene:AT1G01300	1	116784	118845	+	2062	1220
gene:AT1G01305	1	119381	119997	+	617	0
gene:AT1G01310	1	120154	121130	+	977	3
gene:AT1G01320	1	121067	130577	-	9511	1275
